STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,STATISTICAL_OPERATION,Statistical operation,OWNERSHIP_TYPE,Hospital type,HEALTH_FUNCTION,Healthcare function,CARE_TYPE,Care type,MEDICAL_TECH,Medical technology,HEALTH_CARE_PROVIDER,Healthcare provider,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,REF_YEAR_PRICE,Price reference year
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,AUT,Austria,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,15.46,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,AUT,Austria,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,NPP,"Not-for-profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,4.29,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,AUT,Austria,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,NPP,"Not-for-profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,4.12,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,AUT,Austria,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,NPP,"Not-for-profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,3.98,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,AUT,Austria,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,NPP,"Not-for-profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,4.07,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,AUT,Austria,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,NPP,"Not-for-profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,3.94,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,AUT,Austria,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,NPP,"Not-for-profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,3.93,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,AUT,Austria,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,NPP,"Not-for-profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,3.91,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,AUT,Austria,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,NPP,"Not-for-profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,3.87,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,BEL,Belgium,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,10.32,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,BEL,Belgium,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,10.18,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,BEL,Belgium,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,10.13,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,BEL,Belgium,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,10,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,BEL,Belgium,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,9.07,,,,B,Time series break,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,BEL,Belgium,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,9.04,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,BEL,Belgium,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,9,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,BEL,Belgium,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,8.85,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,BEL,Belgium,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,8.88,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,FRA,France,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,20.93,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,FRA,France,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,20.65,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,FRA,France,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,20.44,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,FRA,France,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,20.29,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,FRA,France,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,20.13,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,FRA,France,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,19.94,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,FRA,France,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,19.84,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,FRA,France,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,19.69,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,DEU,Germany,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,19.82,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,DEU,Germany,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,19.51,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,DEU,Germany,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,19.26,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,DEU,Germany,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,19.12,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,DEU,Germany,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,18.97,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,DEU,Germany,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,18.73,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,DEU,Germany,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,18.44,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,DEU,Germany,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,G,General,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,18.21,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LVA,Latvia,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,23.26,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LVA,Latvia,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,22.96,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LVA,Latvia,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,23.17,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LVA,Latvia,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,23.35,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LVA,Latvia,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,23.51,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LVA,Latvia,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,23.68,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LVA,Latvia,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,23.35,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LVA,Latvia,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,P,Public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,23.42,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LTU,Lithuania,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,FPP,"For profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,2.41,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LTU,Lithuania,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,FPP,"For profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,2.79,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LTU,Lithuania,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,FPP,"For profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,2.83,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LTU,Lithuania,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,FPP,"For profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,3.57,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LTU,Lithuania,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,FPP,"For profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,3.22,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LTU,Lithuania,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,FPP,"For profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,3.22,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LTU,Lithuania,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,FPP,"For profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,3.56,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,LTU,Lithuania,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,FPP,"For profit, private",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,3.18,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,NZL,New Zealand,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,35.8,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,NZL,New Zealand,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,33.73,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,NZL,New Zealand,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,33.65,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,NZL,New Zealand,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,33.67,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,NZL,New Zealand,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,32.13,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,NZL,New Zealand,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,31.24,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_HOSP_REAC(1.0),Healthcare provider resources,I,NZL,New Zealand,H,Hospitals,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,31.31,,,,,,,,,,,,,
